timestamp,heap_alloc_mb,heap_inuse_mb,heap_sys_mb,total_alloc_mb
2026-01-05 22:16:33,17.88,21.45,42.88,69.59
2026-01-05 22:16:38,17.93,21.52,42.88,69.64
2026-01-05 22:16:43,17.98,21.57,42.88,69.69
2026-01-05 22:16:48,18.02,21.61,42.88,69.73
2026-01-05 22:16:53,18.10,21.66,42.88,69.81
2026-01-05 22:16:58,18.16,21.75,42.88,69.88
2026-01-05 22:17:03,18.22,21.84,42.88,69.94
2026-01-05 22:17:09,18.28,21.89,42.88,69.99
2026-01-05 22:17:14,18.35,21.95,42.88,70.07
2026-01-05 22:17:19,18.41,21.98,42.84,70.12
2026-01-05 22:17:24,18.49,22.02,42.84,70.20
2026-01-05 22:17:29,18.58,22.08,42.84,70.29
